Location,Car_Brand,Car_Model,License_plate,Car_year,Number_of_doors,Number_of_seats,Fuel_type,Transmission,Car_Type_Group,Car_Type,Car_km,Car_year,Location,Fuel_type,Car_Model,Number_of_doors,Transmission,Number_of_seats,Car_Brand,Inside_height,Inside_length,Car_year,Location,Inside_width,Fuel_type,License_plate,Car_Model,Number_of_doors,Transmission,Number_of_seats,Car_Brand,arham
Calahonda,Fiat,Panda,"4379 KDH",2017,5,5,Petrol,Manual,Car,"Small car",160402,2015,Rønde,Petrol,Clio,5,Manual,5,Renault,0,0,0,"AZ 49 013",arham
Calahonda,Fiat,Panda,"4379 KDH",2017,5,5,Petrol,Manual,Car,"Small car",1,2015,Rønde,Petrol,Clio,5,Manual,5,Renault,0,0,0,"AZ 49 013",arham
Calahonda,Fiat,Panda,"4379 KDH",2017,5,5,Petrol,Manual,Car,"Small car",116577,2015,Rønde,Petrol,Clio,5,Manual,5,Renault,0,0,0,"AZ 49 013",arham
Calahonda,Fiat,Panda,"4379 KDH",2017,5,5,Petrol,Manual,Car,"Small car",137431,2015,Rønde,Petrol,Clio,5,Manual,5,Renault,0,0,0,"AZ 49 013",arham
Calahonda,Fiat,Panda,"4379 KDH",2017,5,5,Petrol,Manual,Car,"Small car",81595,2015,Rønde,Petrol,Clio,5,Manual,5,Renault,0,0,0,"AZ 49 013",arham
Calahonda,Fiat,Panda,"4379 KDH",2017,5,5,Petrol,Manual,Car,"Small car",120609,2015,Rønde,Petrol,Clio,5,Manual,5,Renault,0,0,0,"AZ 49 013",arham
Calahonda,Fiat,Panda,"4379 KDH",2017,5,5,Petrol,Manual,Car,"Small car",132395,2015,Rønde,Petrol,Clio,5,Manual,5,Renault,0,0,0,"AZ 49 013",arham
Calahonda,Fiat,Panda,"4379 KDH",2017,5,5,Petrol,Manual,Car,"Small car",191553,2015,Rønde,Petrol,Clio,5,Manual,5,Renault,0,0,0,"AZ 49 013",arham
Calahonda,Fiat,Panda,"4379 KDH",2017,5,5,Petrol,Manual,Car,"Small car",199808,2015,Rønde,Petrol,Clio,5,Manual,5,Renault,0,0,0,"AZ 49 013",arham
Calahonda,Fiat,Panda,"4379 KDH",2017,5,5,Petrol,Manual,Car,"Small car",52175,2015,Rønde,Petrol,Clio,5,Manual,5,Renault,0,0,0,"AZ 49 013",arham
